Month,Positive,Neutral,Negative,Feature Title,Feature Description,Feature Type
2022-01-01,4711,439,1330,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-02-01,3545,304,767,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-03-01,3120,264,613,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-04-01,2413,192,423,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-05-01,2349,161,480,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-06-01,2212,171,419,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-07-01,2050,168,372,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-08-01,2015,156,339,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-09-01,1884,140,331,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-10-01,1575,124,275,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-11-01,1563,134,303,General Experience,Aggregated review sentiment from user feedback,Feedback
2022-12-01,1236,98,198,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-01-01,1279,107,233,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-02-01,1278,103,264,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-03-01,1333,116,223,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-04-01,1297,110,241,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-05-01,1237,94,264,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-06-01,1318,122,259,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-07-01,1367,96,263,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-08-01,1192,88,212,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-09-01,1269,88,235,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-10-01,1147,108,189,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-11-01,1205,97,175,General Experience,Aggregated review sentiment from user feedback,Feedback
2023-12-01,875,68,132,General Experience,Aggregated review sentiment from user feedback,Feedback
